image_a,image_b,hamming_distance
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\kaggle__smadive__pet-disease-images__Image_5.png,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_189_jpg.rf.e112d9b29eaf8f5d90a3d4e4169eddaa.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\kaggle__smadive__pet-disease-images__Image_6.png,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_189_jpg.rf.e112d9b29eaf8f5d90a3d4e4169eddaa.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__1000010646_x16_jpg.rf.0113cee13f8546b4e07fa40d3acd7652.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_306_jpg.rf.7280c5be620a8ba3e66e6ddead863dc2.jpg,2
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__1000010646_x16_jpg.rf.0113cee13f8546b4e07fa40d3acd7652.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_97_jpg.rf.8dd4ce84c5264431ec20510fdec8ad50.jpg,2
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__1000010646_x16_jpg.rf.0113cee13f8546b4e07fa40d3acd7652.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_derm_6_jpg.rf.81ea9d919ce5f608f3070a879fdd34c1.jpg,2
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__1000010646_x16_jpg.rf.de9e51d79fc564752612a2284cc940ba.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_306_jpg.rf.7280c5be620a8ba3e66e6ddead863dc2.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__1000010646_x16_jpg.rf.de9e51d79fc564752612a2284cc940ba.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_97_jpg.rf.8dd4ce84c5264431ec20510fdec8ad50.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__1000010646_x16_jpg.rf.de9e51d79fc564752612a2284cc940ba.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_derm_6_jpg.rf.81ea9d919ce5f608f3070a879fdd34c1.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__1000010710_x16_jpg.rf.1d1fe1d9e6a9fc0c818c24ba26f51f67.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_183_jpg.rf.e2b9d2a0036b2a6b49b992f0c897d54c.jpg,2
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\hotspot\roboflow__dog-and-cat-skin-disease-identification-2__1000010710_x16_jpg.rf.1d1fe1d9e6a9fc0c818c24ba26f51f67.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\pyoderma\roboflow__dog-and-cat-skin-disease-identification-2__bacterial_264_jpg.rf.c03d878e2530aec9ada052f8268a3f65.jpg,2
