image_a,image_b,hamming_distance
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__imgs045.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_139_png.rf.1226cd26b52a507a85db736510a2abdb.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__imgs079.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_276_png.rf.540dd7a9eb36eb609adb9be8d43100e3.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__imgs108.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\roboflow__cattle-diseases__images-15-_jpg.rf.2c0161579f89932a371deefbd8422b5a.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__imgs149.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\roboflow__cattle-diseases__download-23-_jpg.rf.85d36a373b96515c9a24182cbeb36d27.jpg,2
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__imgs184.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_345_png.rf.829076467b7d5a8cf73baf8751e6ace1.jpg,2
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__imgs208.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_699_png.rf.ddb8d82da74991b50bc3c881f0a72fef.jpg,2
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__imgs230.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_383_png.rf.750bc44b404fdd5184426b57f661a3de.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__imgs271(1).jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_461_png.rf.c7b3164a68324862bd366e65da8bf048.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__imgs405.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_335_png.rf.d43785d9a35eb643f517f857298b1c4c.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__imgs433.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\roboflow__cattle-diseases__download-1-_jpg.rf.98ff6ed9b57339b71efdffc7253aeb7f.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__imgs433.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_155_png.rf.b7973af74c411dac4bd2000504e2e9c9.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__imgs433.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_98_png.rf.a31241f097bee31514b866a9cefe8e72.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__imgs445.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\roboflow__cattle-diseases__istockphoto-1373122449-612x612_jpg.rf.02acad440b4eefae803a5fb3b27889f8.jpg,4
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Jerseycattle0.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\roboflow__cattle-diseases__images-33-_jpg.rf.fc4f51b09b56e3ca88168cb831d44eb2.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Jerseycattle0.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_157_png.rf.6ecc73ee6d3cab9c6321f44134ffe8e2.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Jerseycattle0.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_656_png.rf.501526d9f754f4e2c428568732acccb1.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Jerseycattle5.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_png.rf.929eb93379e7fe806e107cbce57fe6ff.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Normal_Skin_172_png.rf.190ae94773f3d483b4e2f55f62a9fab8.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_133_png.rf.db942709f865c2aa26bfd5d8a7cc8444.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Normal_Skin_172_png.rf.190ae94773f3d483b4e2f55f62a9fab8.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_172_png.rf.446b4c61d84959c94601333994773998.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Normal_Skin_177_png.rf.73cbab2fc4d79db8b22493c107ae4320.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_177_png.rf.b95992f4642e34a48b354fcf25753f79.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Normal_Skin_185_png.rf.1ec32e422d32edd76ebe5db180325f51.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_185_png.rf.c37c11815544d398edbba58990baac03.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Normal_Skin_207_png.rf.de82681cdd5bac8ab3143cef16ffc287.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_207_png.rf.d7f0b7b5270dfd41768cbccffb4c18d0.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Normal_Skin_207_png.rf.de82681cdd5bac8ab3143cef16ffc287.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_87_png.rf.428de8be5a77ba5a9c508279f9429253.jpg,0
C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\species_health\healthy_cattle\kaggle__devang03mgr__cattle-diseases-datasets__Normal_Skin_215_png.rf.8039277bcac9ad2d66f3b4e9d4ad8471.jpg,C:\Users\ashis\Desktop\ScanAI\dataset_manager\clean\skin\healthy_skin\roboflow__lumpy-skin-disease-detection__Normal_Skin_215_png.rf.3d6b289bfbe78cf0471d60fd0e586aca.jpg,0
